1000002,Kabul,,Afghanistan,AF
1028253,Verona,Wisconsin,United States,US
1028254,Vesper,Wisconsin,United States,US
1028255,Viola,Wisconsin,United States,US
1028256,Viroqua,Wisconsin,United States,US
1028257,Wabeno,Wisconsin,United States,US
1028258,Wales,Wisconsin,United States,US
1028259,Walworth,Wisconsin,United States,US
1028260,Washburn,Wisconsin,United States,US
1028261,Washington,Wisconsin,United States,US
1028262,Tichigan,Wisconsin,United States,US
1028263,Waterloo,Wisconsin,United States,US
1028264,Watertown,Wisconsin,United States,US
1028265,Waukesha,Wisconsin,United States,US
1028266,Waunakee,Wisconsin,United States,US
1028267,Waupaca,Wisconsin,United States,US
1028268,Waupun,Wisconsin,United States,US
1028269,Wausau,Wisconsin,United States,US
1028270,Wausaukee,Wisconsin,United States,US
1028271,Wautoma,Wisconsin,United States,US
1028272,Wauzeka,Wisconsin,United States,US
1028273,Webster,Wisconsin,United States,US
1028274,West Bend,Wisconsin,United States,US
1028275,West Salem,Wisconsin,United States,US
1028276,Westby,Wisconsin,United States,US
1028277,Westfield,Wisconsin,United States,US
1028278,Weyauwega,Wisconsin,United States,US
1028279,Weyerhaeuser,Wisconsin,United States,US
1028280,White Lake,Wisconsin,United States,US
1028281,Whitehall,Wisconsin,United States,US
1028282,Whitelaw,Wisconsin,United States,US
1028283,Whitewater,Wisconsin,United States,US
1028284,Wild Rose,Wisconsin,United States,US
1028285,Williams Bay,Wisconsin,United States,US
1028286,Wilmot,Wisconsin,United States,US
1028287,Wilson,Wisconsin,United States,US
1028288,Windsor,Wisconsin,United States,US
1028289,Winneconne,Wisconsin,United States,US
1028290,Winter,Wisconsin,United States,US
1028291,Wisconsin Dells,Wisconsin,United States,US
1028292,Wisconsin Rapids,Wisconsin,United States,US
1028293,Wittenberg,Wisconsin,United States,US
1028294,Wonewoc,Wisconsin,United States,US
1028295,Woodruff,Wisconsin,United States,US
1028296,Woodville,Wisconsin,United States,US
1028297,Wrightstown,Wisconsin,United States,US
1028298,Alderson,West Virginia,United States,US
1028299,Alloy,West Virginia,United States,US
1028300,Ansted,West Virginia,United States,US
1028301,Baisden,West Virginia,United States,US
1028302,Ballard,West Virginia,United States,US
1028303,Barboursville,West Virginia,United States,US
1028304,Beaver,West Virginia,United States,US
1028305,Beckley,West Virginia,United States,US
1028306,Belle,West Virginia,United States,US
1028307,Berkeley Springs,West Virginia,United States,US
1028308,Beverly,West Virginia,United States,US
1028309,Bluefield,West Virginia,United States,US
1028310,Brenton,West Virginia,United States,US
1028311,Bridgeport,West Virginia,United States,US
1028312,Brohard,West Virginia,United States,US
1028313,Bruceton Mills,West Virginia,United States,US
1028314,Buckhannon,West Virginia,United States,US
1028315,Bunker Hill,West Virginia,United States,US
1028316,Cedar Grove,West Virginia,United States,US
1028317,Ceredo,West Virginia,United States,US
1028318,Chapmanville,West Virginia,United States,US
1028319,Charles Town,West Virginia,United States,US
1028320,Charleston,West Virginia,United States,US
1028321,Chester,West Virginia,United States,US
1028322,Clarksburg,West Virginia,United States,US
1028323,Clay,West Virginia,United States,US
1028324,Colliers,West Virginia,United States,US
1028325,Craigsville,West Virginia,United States,US
1028326,Culloden,West Virginia,United States,US
1028327,Dailey,West Virginia,United States,US
1028328,Daniels,West Virginia,United States,US
1028329,Danville,West Virginia,United States,US
1028330,Delbarton,West Virginia,United States,US
1028331,Dunbar,West Virginia,United States,US
1028332,Eleanor,West Virginia,United States,US
1028333,Elizabeth,West Virginia,United States,US
1028334,Elkins,West Virginia,United States,US
1028335,Ellamore,West Virginia,United States,US
1028336,Erbacon,West Virginia,United States,US
1028337,Fairmont,West Virginia,United States,US
1028338,Falling Waters,West Virginia,United States,US
1028339,Farmington,West Virginia,United States,US
1028340,Fayetteville,West Virginia,United States,US
1028341,Flatwoods,West Virginia,United States,US
1028342,Franklin,West Virginia,United States,US
1028343,Fort Ashby,West Virginia,United States,US
1028344,Gassaway,West Virginia,United States,US
1028345,Gauley Bridge,West Virginia,United States,US
1028346,Glenville,West Virginia,United States,US
1028347,Grafton,West Virginia,United States,US
1028348,Grantsville,West Virginia,United States,US
1028349,Granville,West Virginia,United States,US
1028350,Green Bank,West Virginia,United States,US
1028351,Green Spring,West Virginia,United States,US
1028352,Hamlin,West Virginia,United States,US
1028353,Harpers Ferry,West Virginia,United States,US
1028354,Harrisville,West Virginia,United States,US
1028355,Hedgesville,West Virginia,United States,US
1028356,Hinton,West Virginia,United States,US
1028357,Huntington,West Virginia,United States,US
1028358,Hurricane,West Virginia,United States,US
1028359,Iaeger,West Virginia,United States,US
1028360,Institute,West Virginia,United States,US
1028361,Inwood,West Virginia,United States,US
1028362,Itmann,West Virginia,United States,US
1028363,Kenova,West Virginia,United States,US
1028364,Kermit,West Virginia,United States,US
1028365,Keyser,West Virginia,United States,US
1028366,Keystone,West Virginia,United States,US
1028367,Kingwood,West Virginia,United States,US
1028368,LeRoy,West Virginia,United States,US
1028369,Leckie,West Virginia,United States,US
1028370,Lewisburg,West Virginia,United States,US
1028371,Lindside,West Virginia,United States,US
1028372,Logan,West Virginia,United States,US
1028373,Lost City,West Virginia,United States,US
1028374,Mabscott,West Virginia,United States,US
1028375,Madison,West Virginia,United States,US
1028376,Marlinton,West Virginia,United States,US
1028377,Martinsburg,West Virginia,United States,US
1028378,Middlebourne,West Virginia,United States,US
1028379,Millville,West Virginia,United States,US
1028380,Milton,West Virginia,United States,US
1028381,Montgomery,West Virginia,United States,US
1028382,Moorefield,West Virginia,United States,US
1028383,Morgantown,West Virginia,United States,US
1028384,Moundsville,West Virginia,United States,US
1028385,Mount Clare,West Virginia,United States,US
1028386,Mount Hope,West Virginia,United States,US
1028387,Naoma,West Virginia,United States,US
1028388,New Cumberland,West Virginia,United States,US
1028389,New Martinsville,West Virginia,United States,US
1028390,Newell,West Virginia,United States,US
1028391,Nitro,West Virginia,United States,US
1028392,Oak Hill,West Virginia,United States,US
1028393,Oceana,West Virginia,United States,US
1028394,Old Fields,West Virginia,United States,US
1028395,Ona,West Virginia,United States,US
1028396,Parkersburg,West Virginia,United States,US
1028397,Parsons,West Virginia,United States,US
1028398,Petersburg,West Virginia,United States,US
1028399,Peterstown,West Virginia,United States,US
1028400,Philippi,West Virginia,United States,US
1028401,Pineville,West Virginia,United States,US
1028402,Poca,West Virginia,United States,US
1028403,Point Pleasant,West Virginia,United States,US
1028404,Princeton,West Virginia,United States,US
1028405,Prosperity,West Virginia,United States,US
1028406,Rainelle,West Virginia,United States,US
1028407,Ranson,West Virginia,United States,US
1028408,Ravenswood,West Virginia,United States,US
1028409,Red House,West Virginia,United States,US
1028410,Richwood,West Virginia,United States,US
1028411,Ripley,West Virginia,United States,US
1028412,Romney,West Virginia,United States,US
1028413,Ronceverte,West Virginia,United States,US
1028414,Rupert,West Virginia,United States,US
1028415,Scott Depot,West Virginia,United States,US
1028416,Shady Spring,West Virginia,United States,US
1028417,Shepherdstown,West Virginia,United States,US
1028418,Shinnston,West Virginia,United States,US
1028419,Snowshoe,West Virginia,United States,US
1028420,Sophia,West Virginia,United States,US
1028421,Spencer,West Virginia,United States,US
1028422,Saint Albans,West Virginia,United States,US
1028423,Saint Marys,West Virginia,United States,US
1028424,Stephenson,West Virginia,United States,US
1028425,Sugar Grove,West Virginia,United States,US
1028426,Summersville,West Virginia,United States,US
1028427,Sutton,West Virginia,United States,US
1028428,Teays,West Virginia,United States,US
1028429,Thomas,West Virginia,United States,US
1028430,Triadelphia,West Virginia,United States,US
1028431,Tunnelton,West Virginia,United States,US
1028432,Union,West Virginia,United States,US
1028433,Valley Grove,West Virginia,United States,US
1028434,Varney,West Virginia,United States,US
1028435,Vienna,West Virginia,United States,US
1028436,Washington,West Virginia,United States,US
1028437,Wayne,West Virginia,United States,US
1028438,Webster Springs,West Virginia,United States,US
1028439,Weirton,West Virginia,United States,US
1028440,Welch,West Virginia,United States,US
1028441,Wellsburg,West Virginia,United States,US
1028442,West Union,West Virginia,United States,US
1028443,Weston,West Virginia,United States,US
1028444,Wheeling,West Virginia,United States,US
1028445,White Sulphur Springs,West Virginia,United States,US
1028446,Williamson,West Virginia,United States,US
1028447,Williamstown,West Virginia,United States,US
1028448,Winfield,West Virginia,United States,US
1028449,Afton,Wyoming,United States,US
1028450,Arapahoe,Wyoming,United States,US
1028451,Baggs,Wyoming,United States,US
1028452,Basin,Wyoming,United States,US
1028453,Big Piney,Wyoming,United States,US
1028454,Bondurant,Wyoming,United States,US
1028455,Buffalo,Wyoming,United States,US
1028456,Burlington,Wyoming,United States,US
1028457,Casper,Wyoming,United States,US
1028458,Cheyenne,Wyoming,United States,US
1028459,Clearmont,Wyoming,United States,US
1028460,Cody,Wyoming,United States,US
1028461,Cowley,Wyoming,United States,US
1028462,Diamondville,Wyoming,United States,US
1028463,Douglas,Wyoming,United States,US
1028464,Dubois,Wyoming,United States,US
1028465,Evanston,Wyoming,United States,US
1028466,Evansville,Wyoming,United States,US
1028467,Farson,Wyoming,United States,US
1028468,Warren Air Force Base,Wyoming,United States,US
1028469,Freedom,Wyoming,United States,US
1028470,Fort Washakie,Wyoming,United States,US
1028471,Gillette,Wyoming,United States,US
1028472,Glenrock,Wyoming,United States,US
1028473,Green River,Wyoming,United States,US
1028474,Greybull,Wyoming,United States,US
1028475,Guernsey,Wyoming,United States,US
1028476,Hanna,Wyoming,United States,US
1028477,Jackson,Wyoming,United States,US
1028478,Kelly,Wyoming,United States,US
1028479,Kemmerer,Wyoming,United States,US
1028480,Lander,Wyoming,United States,US
1028481,Laramie,Wyoming,United States,US
1028482,Lost Springs,Wyoming,United States,US
1028483,Lovell,Wyoming,United States,US
1028484,Lusk,Wyoming,United States,US
1028485,Lyman,Wyoming,United States,US
1028486,Meeteetse,Wyoming,United States,US
1028487,Moran,Wyoming,United States,US
1028488,Mountain View,Wyoming,United States,US
1028489,Newcastle,Wyoming,United States,US
1028490,Pavillion,Wyoming,United States,US
1028491,Pine Bluffs,Wyoming,United States,US
1028492,Pinedale,Wyoming,United States,US
1028493,Powell,Wyoming,United States,US
1028494,Ranchester,Wyoming,United States,US
1028495,Rawlins,Wyoming,United States,US
1028496,Reliance,Wyoming,United States,US
1028497,Riverton,Wyoming,United States,US
1028498,Rock River,Wyoming,United States,US
1028499,Rock Springs,Wyoming,United States,US
1028500,Saratoga,Wyoming,United States,US
1028501,Sheridan,Wyoming,United States,US
1028502,Shoshoni,Wyoming,United States,US
1028503,Smoot,Wyoming,United States,US
1028504,Story,Wyoming,United States,US
1028505,Sundance,Wyoming,United States,US
1028506,Ten Sleep,Wyoming,United States,US
1028507,Teton Village,Wyoming,United States,US
1028508,Thermopolis,Wyoming,United States,US
1028509,Torrington,Wyoming,United States,US
1028510,Upton,Wyoming,United States,US
1028511,Wapiti,Wyoming,United States,US
1028512,Wheatland,Wyoming,United States,US
1028513,Wilson,Wyoming,United States,US
1028514,Worland,Wyoming,United States,US
1028523,Tashkent,,Uzbekistan,UZ
1028527,Kingstown,,Saint Vincent and the Grenadines,VC
1028528,Caracas,Capital District,Venezuela,VE
1028529,Anaco,Anzoategui,Venezuela,VE
1028530,Barcelona,Anzoategui,Venezuela,VE
1028531,El Tigre,Anzoategui,Venezuela,VE
1028532,Puerto La Cruz,Anzoategui,Venezuela,VE
1028533,San Fernando de Apure,Apure,Venezuela,VE
1028534,Cagua,Aragua,Venezuela,VE
1028535,La Victoria,Aragua,Venezuela,VE
1028536,Maracay,Aragua,Venezuela,VE
1028537,Villa de Cura,Aragua,Venezuela,VE
1028538,Barinas,Barinas,Venezuela,VE
1028539,Ciudad Bolivar,Bolivar,Venezuela,VE
1028540,Guayana City,Bolivar,Venezuela,VE
1028541,Bejuma,Carabobo,Venezuela,VE
1028542,Guacara,Carabobo,Venezuela,VE
1028543,Puerto Cabello,Carabobo,Venezuela,VE
1028544,Valencia,Carabobo,Venezuela,VE
1028545,Coro,Falcon,Venezuela,VE
1028546,Punto Fijo,Falcon,Venezuela,VE
1028547,Calabozo,Guarico,Venezuela,VE
1028549,San Juan de Los Morros,Guarico,Venezuela,VE
1028550,Valle De La Pascua,Guarico,Venezuela,VE
1028551,Zaraza,Guarico,Venezuela,VE
1028552,Barquisimeto,Lara,Venezuela,VE
1028553,Carora,Lara,Venezuela,VE
1028554,El Vigia,Merida,Venezuela,VE
1028555,Merida,Merida,Venezuela,VE
1028558,Los Teques,Miranda,Venezuela,VE
1028559,Santa Teresa del Tuy,Miranda,Venezuela,VE
1028560,Maturin,Monagas,Venezuela,VE
1028561,Porlamar,Nueva Esparta,Venezuela,VE
1028562,Acarigua,Portuguesa,Venezuela,VE
1028563,Guanare,Portuguesa,Venezuela,VE
1028564,Carupano,Sucre,Venezuela,VE
1028565,Cumana,Sucre,Venezuela,VE
1028567,San Cristobal,Tachira,Venezuela,VE
1028569,Valera,Trujillo,Venezuela,VE
1028570,San Felipe,Yaracuy,Venezuela,VE
1028571,Cabimas,Zulia,Venezuela,VE
1028572,Ciudad Ojeda,Zulia,Venezuela,VE
1028573,Maracaibo,Zulia,Venezuela,VE
1028574,San Carlos del Zulia,Zulia,Venezuela,VE
1028575,Road Town,,British Virgin Islands,VG
1028576,Charlotte Amalie,St. Thomas,U.S. Virgin Islands,VI
1028578,Cruz Bay,St. John,U.S. Virgin Islands,VI
1028580,Hanoi,Hanoi,Vietnam,VN
1028581,Ho Chi Minh City,Ho Chi Minh City,Vietnam,VN
1028582,Port Vila,,Vanuatu,VU
1028583,Apia,,Samoa,WS
1028585,Sana'a,Capital Municipality,Yemen,YE
1028586,Bar,,Montenegro,ME
1028587,Budva,Budva Municipality,Montenegro,ME
1028588,Herceg Novi,Herceg Novi Municipality,Montenegro,ME
1028591,Podgorica,Podgorica Municipality,Montenegro,ME
1028592,Ulcinj,Ulcinj Municipality,Montenegro,ME
1028594,Prishtina,Pristina District,Kosovo,XK
1028617,Alice,Eastern Cape,South Africa,ZA
1028618,Beacon Bay North,Eastern Cape,South Africa,ZA
1028619,Butterworth,Eastern Cape,South Africa,ZA
1028620,East London,Eastern Cape,South Africa,ZA
1028621,Grahamstown,Eastern Cape,South Africa,ZA
1028622,Kei Mouth,Eastern Cape,South Africa,ZA
1028623,Middelburg,Eastern Cape,South Africa,ZA
1028624,Port Elizabeth,Eastern Cape,South Africa,ZA
1028625,Uitenhage,Eastern Cape,South Africa,ZA
1028626,Mthatha,Eastern Cape,South Africa,ZA
1028627,Walmer,Eastern Cape,South Africa,ZA
1028628,Bloemfontein,Free State,South Africa,ZA
1028629,Ficksburg,Free State,South Africa,ZA
1028630,Harrismith,Free State,South Africa,ZA
1028631,Welkom,Free State,South Africa,ZA
1028632,Alberton,Gauteng,South Africa,ZA
1028633,Auckland Park,Gauteng,South Africa,ZA
1028634,Bedfordview,Gauteng,South Africa,ZA
1028635,Benoni,Gauteng,South Africa,ZA
1028636,Benrose,Gauteng,South Africa,ZA
1028637,Bertrams,Gauteng,South Africa,ZA
1028638,Boksburg,Gauteng,South Africa,ZA
1028639,Braamfontein Werf,Gauteng,South Africa,ZA
1028640,Brakpan,Gauteng,South Africa,ZA
1028641,Bramley,Gauteng,South Africa,ZA
1028642,Brits,North West,South Africa,ZA
1028643,Bromhof,Gauteng,South Africa,ZA
1028644,Bryanston,Gauteng,South Africa,ZA
1028645,Centurion,Gauteng,South Africa,ZA
1028646,Cramerview,Gauteng,South Africa,ZA
1028647,Edenvale,Gauteng,South Africa,ZA
1028648,Elandsfontein,Gauteng,South Africa,ZA
1028650,Ferndale,Gauteng,South Africa,ZA
1028651,Florida,Gauteng,South Africa,ZA
1028652,Fourways,Gauteng,South Africa,ZA
1028653,Gallo Manor,Gauteng,South Africa,ZA
1028654,Bedford Gardens,Gauteng,South Africa,ZA
1028655,Garsfontein,Gauteng,South Africa,ZA
1028656,Germiston,Gauteng,South Africa,ZA
1028657,Constantia Park,Gauteng,South Africa,ZA
1028658,Halfway House,Gauteng,South Africa,ZA
1028659,Halfway Gardens,Gauteng,South Africa,ZA
1028660,Hatfield,Gauteng,South Africa,ZA
1028661,Die Hoewes,Gauteng,South Africa,ZA
1028662,Honeydew,Gauteng,South Africa,ZA
1028663,Isando,Gauteng,South Africa,ZA
1028664,Jeppestown,Gauteng,South Africa,ZA
1028665,Johannesburg,Gauteng,South Africa,ZA
1028666,Kempton Park,Gauteng,South Africa,ZA
1028668,Lanseria,Gauteng,South Africa,ZA
1028669,Laudium,Gauteng,South Africa,ZA
1028670,Lone Hill,Gauteng,South Africa,ZA
1028671,Mamelodi,Gauteng,South Africa,ZA
1028672,Ga-Rankuwa Unit 2,Gauteng,South Africa,ZA
1028673,Midrand,Gauteng,South Africa,ZA
1028674,Modderfontein,Gauteng,South Africa,ZA
1028675,Mondeor,Gauteng,South Africa,ZA
1028676,Monument,Gauteng,South Africa,ZA
1028677,Northcliff,Gauteng,South Africa,ZA
1028678,Olifantsfontein,Gauteng,South Africa,ZA
1028679,Onderstepoort,Gauteng,South Africa,ZA
1028680,Parkdene,Gauteng,South Africa,ZA
1028681,Paulshof,Gauteng,South Africa,ZA
1028682,Pretoria,Gauteng,South Africa,ZA
1028683,Primrose,Gauteng,South Africa,ZA
1028684,Randburg,Gauteng,South Africa,ZA
1028685,Rivonia,Gauteng,South Africa,ZA
1028686,Roodepoort,Gauteng,South Africa,ZA
1028687,Rosebank,Gauteng,South Africa,ZA
1028688,Sandton,Gauteng,South Africa,ZA
1028689,Saxonwold,Gauteng,South Africa,ZA
1028690,Senderwood,Gauteng,South Africa,ZA
1028691,Silverton,Gauteng,South Africa,ZA
1028692,Sunninghill,Gauteng,South Africa,ZA
1028693,Vanderbijlpark,Gauteng,South Africa,ZA
1028694,Vereeniging,Gauteng,South Africa,ZA
1028695,Vorna Valley,Gauteng,South Africa,ZA
1028696,Wadeville,Gauteng,South Africa,ZA
1028697,Westdene,Gauteng,South Africa,ZA
1028698,Westgate,Gauteng,South Africa,ZA
1028699,Wierdapark,Gauteng,South Africa,ZA
1028700,Witkoppen,Gauteng,South Africa,ZA
1028702,Woodmead,Gauteng,South Africa,ZA
1028703,Ermelo,Mpumalanga,South Africa,ZA
1028704,Nelspruit,Mpumalanga,South Africa,ZA
1028705,Secunda,Mpumalanga,South Africa,ZA
1028706,Emalahleni,Mpumalanga,South Africa,ZA
1028707,White River,Mpumalanga,South Africa,ZA
1028708,Hadison Park,Northern Cape,South Africa,ZA
1028709,Kimberley,Northern Cape,South Africa,ZA
1028710,Upington,Northern Cape,South Africa,ZA
1028711,Benmore Gardens,Gauteng,South Africa,ZA
1028712,Durban,KwaZulu-Natal,South Africa,ZA
1028713,Empangeni,KwaZulu-Natal,South Africa,ZA
1028714,Greytown,KwaZulu-Natal,South Africa,ZA
1028715,Ongoye,KwaZulu-Natal,South Africa,ZA
1028716,Ndabeni,KwaZulu-Natal,South Africa,ZA
1028717,Newcastle,KwaZulu-Natal,South Africa,ZA
1028718,Athlone,KwaZulu-Natal,South Africa,ZA
1028719,Overport,KwaZulu-Natal,South Africa,ZA
1028720,Pietermaritzburg,KwaZulu-Natal,South Africa,ZA
1028721,Pinetown,KwaZulu-Natal,South Africa,ZA
1028722,Richards Bay,KwaZulu-Natal,South Africa,ZA
1028723,Tongaat,KwaZulu-Natal,South Africa,ZA
1028724,Ulundi,KwaZulu-Natal,South Africa,ZA
1028725,Umhlanga Rocks,KwaZulu-Natal,South Africa,ZA
1028726,Umkomaas,KwaZulu-Natal,South Africa,ZA
1028727,Umlazi,KwaZulu-Natal,South Africa,ZA
1028728,Westville,KwaZulu-Natal,South Africa,ZA
1028729,Doornfontein,Gauteng,South Africa,ZA
1028730,Louis Trichardt,Limpopo,South Africa,ZA
1028731,Musina,Limpopo,South Africa,ZA
1028732,Phalaborwa,Limpopo,South Africa,ZA
1028733,Polokwane,Limpopo,South Africa,ZA
1028734,Thohoyandou,Limpopo,South Africa,ZA
1028735,Tzaneen,Limpopo,South Africa,ZA
1028736,Klerksdorp,North West,South Africa,ZA
1028737,Lichtenburg,North West,South Africa,ZA
1028738,Mahikeng,North West,South Africa,ZA
1028739,Mmabatho,North West,South Africa,ZA
1028740,Potchefstroom,North West,South Africa,ZA
1028741,Rustenburg,North West,South Africa,ZA
1028742,Sun City,North West,South Africa,ZA
1028743,Bellville,Western Cape,South Africa,ZA
1028744,Caledon,Western Cape,South Africa,ZA
1028745,Cape Town,Western Cape,South Africa,ZA
1028746,Claremont,Western Cape,South Africa,ZA
1028747,Edgemead,Western Cape,South Africa,ZA
1028748,Epping Industria 1,Western Cape,South Africa,ZA
1028749,Fish Hoek,Western Cape,South Africa,ZA
1028750,George,Western Cape,South Africa,ZA
1028751,Knysna,Western Cape,South Africa,ZA
1028752,Malmesbury,Western Cape,South Africa,ZA
1028753,Mossel Bay,Western Cape,South Africa,ZA
1028754,Oakdale,Western Cape,South Africa,ZA
1028755,Oudtshoorn,Western Cape,South Africa,ZA
1028756,Paarden Eiland,Western Cape,South Africa,ZA
1028757,Parow,Western Cape,South Africa,ZA
1028759,Saldanha,Western Cape,South Africa,ZA
1028760,Sanlamhof,Western Cape,South Africa,ZA
1028761,Simon's Town,Western Cape,South Africa,ZA
1028762,Somerset West,Western Cape,South Africa,ZA
1028763,Stellenbosch,Western Cape,South Africa,ZA
1028764,Still Bay,Western Cape,South Africa,ZA
1028765,Strand,Western Cape,South Africa,ZA
1028766,Wellington,Western Cape,South Africa,ZA
1028767,Weltevreden,Western Cape,South Africa,ZA
1028768,Wynberg,Western Cape,South Africa,ZA
1028769,Kitwe,Copperbelt Province,Zambia,ZM
1028770,Lusaka,Lusaka Province,Zambia,ZM
1028771,Ndola,Copperbelt Province,Zambia,ZM
1028772,Bulawayo,Bulawayo Province,Zimbabwe,ZW
1028773,Gweru,Midlands Province,Zimbabwe,ZW
1028774,Harare,Harare Province,Zimbabwe,ZW
1028775,Masvingo,Masvingo Province,Zimbabwe,ZW
1028776,Pecos,New Mexico,United States,US
1028777,Bazhong,Sichuan,China,CN
1028778,Hechi,Guangxi,China,CN
1028779,Tongliao,Inner Mongolia,China,CN
1028781,Vehmaa,,Finland,FI
1028782,Erie,Kansas,United States,US
1028783,San Luis,San Luis Province,Argentina,AR
1028784,Fehring,Styria,Austria,AT
1028785,Verdalsora,Nord-Trondelag,Norway,NO
1028786,Dersingham,England,United Kingdom,GB
1028787,Urjala,,Finland,FI
1028789,Mosonmagyarovar,Gyor-Moson-Sopron,Hungary,HU
1028790,Zhunan Township,Miaoli County,Taiwan,TW
1028791,Cangzhou,Hebei,China,CN
1028792,La Romana,La Romana Province,Dominican Republic,DO
1028793,Hargeisa,,Somalia,SO
1028796,Delchevo,,Macedonia (FYROM),MK
1028797,Tarvisio,Friuli-Venezia Giulia,Italy,IT
1028798,Zalau,Salaj,Romania,RO
1028799,Pascani,Iasi County,Romania,RO
1028800,Gap,Provence-Alpes-Cote d'Azur,France,FR
1028801,Aiud,Alba County,Romania,RO
1028805,Hai Phong,Hai Phong,Vietnam,VN
1028806,Quang Ngai,Quang Ngai,Vietnam,VN
1028807,Vung Tau,Ba Ria - Vung Tau,Vietnam,VN
1028808,Nha Trang,Khanh Hoa Province,Vietnam,VN
1028809,Da Nang,Da Nang,Vietnam,VN
1028815,Gillam,Manitoba,Canada,CA
1028816,Hagen,North Rhine-Westphalia,Germany,DE
1028817,Oshu,Iwate Prefecture,Japan,JP
1028818,Osaki,Miyagi Prefecture,Japan,JP
1028819,Daisen,Akita Prefecture,Japan,JP
1028820,Yurihonjo,Akita Prefecture,Japan,JP
1028821,Minamisoma,Fukushima Prefecture,Japan,JP
1028822,Joso,Ibaraki Prefecture,Japan,JP
1028823,Shimotsuke,Tochigi Prefecture,Japan,JP
1028824,ふじみ野市,Saitama Prefecture,Japan,JP
1028825,Saitama,Saitama Prefecture,Japan,JP
1028826,Katori,Chiba Prefecture,Japan,JP
1028827,Minamiboso,Chiba Prefecture,Japan,JP
1028828,Nishi-tokyo,Tokyo,Japan,JP
1028829,Minamiuonuma,Niigata,Japan,JP
1028830,Yamagata,Gifu Prefecture,Japan,JP
1028831,Izu,Shizuoka Prefecture,Japan,JP
1028832,Shima,Mie Prefecture,Japan,JP
1028833,Kyotango,Kyoto,Japan,JP
1028834,Nantan,Kyoto,Japan,JP
1028835,Asago,Hyogo,Japan,JP
1028836,Kato,Hyogo,Japan,JP
1028837,Unnan,Shimane Prefecture,Japan,JP
1028838,Asakuchi,Okayama Prefecture,Japan,JP
1028839,Akitakata,Hiroshima Prefecture,Japan,JP
1028840,Shunan,Yamaguchi Prefecture,Japan,JP
1028841,Yoshinogawa,Tokushima Prefecture,Japan,JP
1028842,Shikokuchuo,Ehime Prefecture,Japan,JP
1028843,Kami,Kochi,Japan,JP
1028844,Asakura,Fukuoka Prefecture,Japan,JP
1028845,Goto,Nagasaki Prefecture,Japan,JP
1028846,Amakusa,Kumamoto Prefecture,Japan,JP
1028847,Bungo-ono,Oita,Japan,JP
1028848,Amami,Kagoshima Prefecture,Japan,JP
1028849,Uruma,Okinawa Prefecture,Japan,JP
1028850,Adachi,Tokyo,Japan,JP
1028851,Chuo,Tokyo,Japan,JP
1028852,Itabashi,Tokyo,Japan,JP
1028853,Minato,Tokyo,Japan,JP
1028854,Bjelovar,Bjelovar-Bilogora County,Croatia,HR
1028855,Karlovac,Karlovac County,Croatia,HR
1028856,Pozega,Pozega-Slavonia County,Croatia,HR
1028857,Pula,Istria County,Croatia,HR
1028858,Sesvete,City of Zagreb,Croatia,HR
1028859,Sibenik,Sibenik-Knin County,Croatia,HR
1028860,Sisak,Sisak-Moslavina County,Croatia,HR
1028861,Slavonski Brod,Brod-Posavina County,Croatia,HR
1028862,Varazdin,Varazdin County,Croatia,HR
1028863,Velika Gorica,Zagreb County,Croatia,HR
1028864,Vinkovci,Vukovar-Srijem County,Croatia,HR
1028865,Aljustrel,Beja District,Portugal,PT
1028866,Entroncamento,Santarem District,Portugal,PT
1028867,Lagos,Faro District,Portugal,PT
1028868,Loule,Faro District,Portugal,PT
1028869,Mertola,Beja District,Portugal,PT
1028870,Al Bahah,Al Bahah Province,Saudi Arabia,SA
1028871,Arar,Northern Borders Province,Saudi Arabia,SA
1028872,Al Jawf,Al Jowf,Saudi Arabia,SA
1028873,Medina,Al Madinah Province,Saudi Arabia,SA
1028874,Buraydah,Al Qassim,Saudi Arabia,SA
1028875,Hail,Hail Province,Saudi Arabia,SA
1028876,Abha,Aseer Province,Saudi Arabia,SA
1028877,Tabuk,Tabuk Province,Saudi Arabia,SA
1028878,Najran,Najran,Saudi Arabia,SA
1028879,Mecca,Makkah Province,Saudi Arabia,SA
1028880,Jazan,Jazan,Saudi Arabia,SA
1028881,Taif,Makkah Province,Saudi Arabia,SA
1028882,Al Qatif,Eastern Province,Saudi Arabia,SA
1028883,Rafah,North Sinai Governorate,Egypt,EG
1028884,Ismailia,Ismailia Governorate,Egypt,EG
1028885,Minya,Menia Governorate,Egypt,EG
1028886,Banha,Al Qalyubia Governorate,Egypt,EG
1028887,Idfa,Sohag Governorate,Egypt,EG
1028888,Kharga,New Valley Governorate,Egypt,EG
1028889,Beni Suef,Beni Suef Governorate,Egypt,EG
1028890,Sharm El-Sheikh,South Sinai Governorate,Egypt,EG
1028891,Dahab,South Sinai Governorate,Egypt,EG
1028892,El Tor,South Sinai Governorate,Egypt,EG
1028893,Nuweibaa,South Sinai Governorate,Egypt,EG
1028894,Desouk,Kafr El Sheikh Governorate,Egypt,EG
1028895,Marsa Matruh,Matrouh Governorate,Egypt,EG
1028897,Siwa Oasis,Matrouh Governorate,Egypt,EG
1028898,Qena,Qena Governorate,Egypt,EG
1028899,Arish,North Sinai Governorate,Egypt,EG
1028900,Addo,Eastern Cape,South Africa,ZA
1028901,Adelaide,Eastern Cape,South Africa,ZA
